,userId,movieId,rating,timestamp
0,1,31,2.5,2009-12-14 03:52:24
1,1,1029,3.0,2009-12-14 03:52:59
2,1,1061,3.0,2009-12-14 03:53:02
3,1,1129,2.0,2009-12-14 03:53:05
4,1,1172,4.0,2009-12-14 03:53:25
5,1,1263,2.0,2009-12-14 03:52:31
6,1,1287,2.0,2009-12-14 03:53:07
7,1,1293,2.0,2009-12-14 03:52:28
8,1,1339,3.5,2009-12-14 03:52:05
9,1,1343,2.0,2009-12-14 03:52:11
10,1,1371,2.5,2009-12-14 03:52:15
11,1,1405,1.0,2009-12-14 03:53:23
12,1,1953,4.0,2009-12-14 03:53:11
13,1,2105,4.0,2009-12-14 03:52:19
14,1,2150,3.0,2009-12-14 03:53:14
15,1,2193,2.0,2009-12-14 03:53:18
16,1,2294,2.0,2009-12-14 03:51:48
17,1,2455,2.5,2009-12-14 03:51:53
18,1,2968,1.0,2009-12-14 03:53:20
19,1,3671,3.0,2009-12-14 03:51:57
20,2,10,4.0,1996-06-21 13:11:33
21,2,17,5.0,1996-06-21 13:14:41
22,2,39,5.0,1996-06-21 13:13:24
23,2,47,4.0,1996-06-21 13:12:32
24,2,50,4.0,1996-06-21 13:13:06
25,2,52,3.0,1996-06-21 13:20:31
26,2,62,3.0,1996-06-21 13:15:49
27,2,110,4.0,1996-06-21 13:12:12
28,2,144,3.0,1996-06-21 13:20:16
29,2,150,5.0,1996-06-21 13:09:55
30,2,153,4.0,1996-06-21 13:10:41
31,2,161,3.0,1996-06-21 13:11:33
32,2,165,3.0,1996-06-21 13:10:41
33,2,168,3.0,1996-06-21 13:15:10
34,2,185,3.0,1996-06-21 13:11:51
35,2,186,3.0,1996-06-21 13:14:24
36,2,208,3.0,1996-06-21 13:11:51
37,2,222,5.0,1996-06-21 13:17:20
38,2,223,1.0,1996-06-21 13:15:49
39,2,225,3.0,1996-06-21 13:12:32
40,2,235,3.0,1996-06-21 13:14:24
41,2,248,3.0,1996-06-21 13:18:16
42,2,253,4.0,1996-06-21 13:11:51
43,2,261,4.0,1996-06-21 13:14:41
44,2,265,5.0,1996-06-21 13:14:57
45,2,266,5.0,1996-06-21 13:13:06
46,2,272,3.0,1996-06-21 13:16:07
47,2,273,4.0,1996-06-21 13:16:19
48,2,292,3.0,1996-06-21 13:11:32
49,2,296,4.0,1996-06-21 13:09:55
50,2,300,3.0,1996-06-21 13:12:12
51,2,314,4.0,1996-06-21 13:20:44
52,2,317,2.0,1996-06-21 13:12:31
53,2,319,1.0,1996-06-21 13:18:38
